sr_no,HostTimestamp,NodeTimestamp,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,X_dps,Y (dps),Z_dps,move_type
6,1062253,144565.0,-183.0,-987.0,99.0,235.0,-190.0,-312.0,-7.4,-19.2,16.9,L
25,559584,89678.0,-132.0,-166.0,827.0,186.0,-112.0,9.0,27.7,34.5,34.0,W
38,237529,49418.0,-51.0,255.0,1110.0,114.0,-96.0,-82.0,14.9,-4.7,9.4,W
6,450146,64568.0,-68.0,-1139.0,244.0,192.0,-195.0,-382.0,18.4,-23.5,36.9,S
29,488781,117667.0,29.0,-21.0,1113.0,-277.0,-439.0,-96.0,12.8,-5.8,5.7,U
4,1403051,187171.0,-13.0,-1050.0,98.0,228.0,-234.0,-318.0,1.7,-1.6,0.9,U
41,587602,93184.0,-144.0,218.0,897.0,147.0,-106.0,-33.0,116.9,-29.6,34.5,W
11,237625,41478.0,-92.0,-974.0,152.0,237.0,-208.0,-321.0,12.4,-6.1,-6.5,R
5,2111731,275765.0,-143.0,-981.0,54.0,307.0,-180.0,-249.0,16.7,-25.3,-5.3,D
49,304279,94598.0,148.0,50.0,1073.0,-342.0,-433.0,-78.0,-28.2,21.7,34.8,R
64,1859828,237591.0,221.0,-135.0,990.0,-327.0,-462.0,-40.0,-1.6,1.3,2.7,R
37,344163,43973.0,-44.0,-180.0,978.0,-189.0,-451.0,-100.0,5.1,-3.6,-0.9,D
33,179425,34203.0,-80.0,-1023.0,97.0,262.0,-207.0,-276.0,-5.1,6.0,7.6,R
24,51720,14761.0,-194.0,-1228.0,390.0,181.0,-190.0,-396.0,-18.3,-77.2,32.4,S
33,433843,55186.0,31.0,-131.0,1027.0,-237.0,-453.0,-84.0,-3.1,-1.9,1.6,D
33,216290,46762.0,-76.0,45.0,1037.0,151.0,-81.0,-61.0,6.0,-0.5,1.4,W
35,1023043,139665.0,46.0,-1007.0,85.0,273.0,-223.0,-289.0,1.2,5.4,-12.8,L
7,558684,89565.0,-89.0,-144.0,612.0,205.0,-163.0,36.0,32.8,-14.1,46.0,W
49,1138424,154090.0,-3.0,-986.0,134.0,258.0,-213.0,-312.0,-16.2,5.0,8.4,L
59,1997643,261503.0,-57.0,-985.0,-64.0,279.0,-226.0,-282.0,-3.9,-1.4,-0.7,D
51,1367192,176003.0,47.0,78.0,1001.0,-568.0,-180.0,-90.0,-0.7,-2.4,1.5,L
63,238791,49575.0,6.0,130.0,998.0,118.0,-82.0,-72.0,-1.1,2.6,4.4,W
15,20807,12997.0,82.0,-53.0,1030.0,-264.0,-460.0,-67.0,13.1,-8.4,5.8,U
13,68307,20309.0,-129.0,-1002.0,95.0,268.0,-208.0,-294.0,0.7,13.0,-7.0,R
26,210972,36772.0,-27.0,-101.0,1038.0,-250.0,-445.0,-100.0,1.4,-2.4,1.2,D
1,441953,67021.0,-107.0,-1011.0,125.0,261.0,-237.0,-337.0,-0.4,-2.5,-3.9,R
121,120949,34843.0,-31.0,392.0,918.0,45.0,-139.0,-163.0,0.2,-2.1,4.3,W
46,21270,10955.0,-104.0,-995.0,174.0,231.0,-184.0,-351.0,2.5,-0.7,3.6,S
62,55033,63442.0,127.0,-71.0,1007.0,-379.0,-426.0,-72.0,0.0,-1.3,1.9,R
34,889154,122928.0,-22.0,-1004.0,115.0,258.0,-240.0,-321.0,-1.8,-6.0,5.7,L
42,1507023,193485.0,177.0,-187.0,990.0,-237.0,-454.0,-64.0,0.2,-1.6,1.7,L
9,1995152,261190.0,-83.0,-1015.0,-48.0,315.0,-211.0,-256.0,13.4,-9.3,-1.1,D
56,397394,50630.0,75.0,-134.0,1002.0,-246.0,-462.0,-64.0,-2.5,-0.4,1.7,D
37,216500,46787.0,-88.0,118.0,1047.0,142.0,-84.0,-69.0,13.0,3.7,-3.0,W
5,2240400,291853.0,-94.0,-994.0,-104.0,324.0,-198.0,-229.0,7.4,-5.5,1.1,D
12,2112091,275809.0,-7.0,-855.0,116.0,273.0,-220.0,-309.0,-2.1,0.6,-20.0,D
84,155150,39118.0,-8.0,338.0,956.0,54.0,-94.0,-124.0,0.4,-1.5,2.9,W
38,488992,72903.0,-53.0,-1010.0,76.0,250.0,-208.0,-264.0,-4.4,1.3,2.4,R
40,22035,13153.0,73.0,-76.0,1012.0,-261.0,-453.0,-81.0,1.1,1.0,2.3,U
67,1595080,211178.0,0.0,-972.0,-175.0,331.0,-214.0,-156.0,-4.3,0.4,2.3,U
32,526102,77540.0,-98.0,-997.0,104.0,241.0,-189.0,-277.0,-0.1,8.9,0.7,R
15,275875,46259.0,328.0,-933.0,-86.0,298.0,-306.0,-243.0,10.3,-2.7,2.5,R
52,1408052,181110.0,209.0,137.0,990.0,-588.0,-211.0,-42.0,-0.3,1.1,0.0,L
39,2311770,300771.0,66.0,-923.0,88.0,237.0,-256.0,-369.0,19.4,4.6,11.8,D
3,232259,37330.0,-29.0,-922.0,-41.0,267.0,-181.0,-282.0,8.6,-3.0,3.3,S
2,50610,14624.0,239.0,-974.0,150.0,205.0,-190.0,-366.0,36.4,-18.7,15.8,S
6,400249,106598.0,121.0,3.0,1013.0,-372.0,-442.0,-69.0,-7.3,-2.3,-30.5,R
17,275965,46271.0,208.0,-990.0,-23.0,294.0,-304.0,-237.0,0.3,6.1,-2.9,R
21,2409748,313021.0,-30.0,-722.0,-35.0,321.0,-187.0,-237.0,-4.2,-4.1,10.9,D
49,588023,93234.0,-171.0,222.0,1208.0,96.0,-96.0,-96.0,33.8,-1.1,7.6,W
4,98590,13273.0,-68.0,-171.0,1080.0,-244.0,-442.0,-102.0,-0.5,24.2,16.3,D
4,352154,54422.0,-108.0,-22.0,1133.0,-271.0,-445.0,-78.0,12.8,24.3,-4.5,D
43,432387,62349.0,-176.0,-999.0,301.0,160.0,-190.0,-408.0,1.0,-41.5,4.2,S
100,2145360,279971.0,-11.0,-1020.0,35.0,274.0,-231.0,-315.0,-1.8,3.4,1.8,D
24,315714,51240.0,-84.0,-1001.0,56.0,261.0,-175.0,-259.0,5.3,18.4,1.1,R
11,1403411,187215.0,16.0,-962.0,179.0,241.0,-237.0,-309.0,-8.4,6.0,-5.8,U
25,626895,88772.0,75.0,-66.0,1016.0,-237.0,-463.0,-76.0,-2.5,3.1,2.4,D
44,402140,106836.0,86.0,-67.0,1030.0,-424.0,-394.0,-73.0,-5.5,0.9,3.0,R
