sr_no,HostTimestamp,X_mg,Y_mg,Z_mg,X_dps,Y_dps,Z_dps,move_type
6,186462,-215.0,-48.0,934.0,11.3,-11.7,-2.3,D
7,186523,-222.0,-22.0,988.0,18.2,-10.9,-4.4,D
8,186552,-194.0,18.0,1039.0,11.1,-7.3,-4.6,D
9,186612,-169.0,37.0,1029.0,9.2,-19.0,-3.2,D
10,186673,-139.0,44.0,1008.0,2.3,-5.6,-2.3,D
11,186702,-129.0,33.0,991.0,-0.7,0.2,0.4,D
12,186762,-160.0,27.0,1039.0,2.1,-6.0,1.6,D
13,186822,-140.0,21.0,987.0,-5.1,2.5,2.6,D
14,186852,-180.0,16.0,986.0,1.4,1.2,3.5,D
15,186912,-152.0,20.0,1013.0,0.7,1.8,2.0,D
16,186971,-152.0,20.0,1013.0,-0.3,2.3,2.4,D
17,187002,-162.0,5.0,996.0,1.9,1.8,2.5,D
18,187063,-181.0,15.0,1016.0,3.3,-2.0,1.3,D
19,187123,-177.0,33.0,1010.0,-0.2,0.4,1.2,D
20,187152,-172.0,42.0,1002.0,-0.8,1.4,2.3,D
21,187212,-168.0,25.0,1006.0,1.0,-0.2,2.3,D
22,187272,-157.0,15.0,1009.0,-1.1,0.7,2.2,D
23,187302,-176.0,3.0,996.0,0.7,0.2,2.2,D
24,187362,-181.0,14.0,1009.0,-0.2,0.2,1.2,D
25,187422,-201.0,20.0,1014.0,0.0,-0.7,-0.3,D
26,187451,-198.0,26.0,1010.0,-1.2,-2.0,0.1,D
27,187512,-156.0,27.0,1015.0,-1.3,-2.2,0.6,D
28,187572,-166.0,13.0,1019.0,-4.4,-2.3,2.2,D
29,187601,-166.0,13.0,1019.0,-3.1,-2.1,0.6,D
30,187662,-153.0,6.0,978.0,1.6,-1.8,0.9,D
31,187722,-167.0,3.0,1016.0,1.8,-3.5,1.1,D
32,187752,-171.0,1.0,1016.0,5.8,-5.2,-0.5,D
33,187812,-156.0,13.0,1003.0,7.9,-10.7,0.4,D
34,187903,-156.0,13.0,1003.0,6.7,-10.3,1.0,D
35,187903,-156.0,13.0,1003.0,9.6,-16.0,2.8,D
1,2083171,-62.0,-902.0,-94.0,0.3,-3.0,3.9,D
2,2083231,-26.0,-900.0,-64.0,3.2,-2.5,4.2,D
3,2083291,-87.0,-923.0,-67.0,3.8,-7.7,7.2,D
4,2083321,-50.0,-952.0,-5.0,5.3,-3.0,6.5,D
5,2083381,-70.0,-950.0,-15.0,4.7,-16.1,-2.1,D
6,2083441,-46.0,-961.0,-53.0,6.0,2.6,5.6,D
7,2083471,-57.0,-965.0,-47.0,14.0,-12.9,1.6,D
8,2083531,-132.0,-987.0,-83.0,-4.0,-3.6,-0.7,D
9,2083592,-108.0,-981.0,-26.0,-2.9,6.8,12.5,D
10,2083621,-133.0,-974.0,-100.0,3.5,-7.3,2.2,D
11,2083682,-83.0,-965.0,-21.0,0.6,-2.1,12.5,D
12,2083771,-202.0,-942.0,-70.0,5.4,-9.8,7.2,D
13,2083799,-133.0,-961.0,2.0,11.0,-7.0,7.0,D
14,2083831,-175.0,-985.0,-21.0,7.4,0.0,-1.1,D
15,2083891,-118.0,-960.0,32.0,5.2,-4.5,-13.3,D
16,2083921,-74.0,-969.0,-10.0,-1.3,-2.1,-14.1,D
17,2083981,-139.0,-978.0,-57.0,6.7,-6.8,-19.6,D
18,2084101,106.0,-982.0,109.0,14.2,-1.4,-27.0,D
19,2084137,-33.0,-999.0,-34.0,-3.1,-19.5,-29.1,D
20,2084138,-33.0,-999.0,-34.0,31.3,-18.0,-57.1,D
21,2084191,158.0,-1032.0,94.0,30.7,3.7,-46.7,D
22,2084221,-22.0,-1090.0,130.0,10.5,13.3,-23.1,D
23,2084281,195.0,-1048.0,192.0,15.2,5.8,-17.8,D
24,2084341,114.0,-1063.0,124.0,-2.7,5.4,8.0,D
25,2084371,-1.0,-1063.0,141.0,-15.1,1.0,17.7,D
26,2084431,82.0,-982.0,100.0,-1.2,-16.5,3.3,D
27,2084491,10.0,-1019.0,119.0,-8.4,-10.7,21.0,D
28,2084521,4.0,-1016.0,58.0,9.8,-10.0,1.0,D
29,2084580,24.0,-1043.0,49.0,4.4,-6.9,3.9,D
30,2084641,-27.0,-1064.0,-50.0,9.3,-17.9,-4.4,D
31,2084671,84.0,-1074.0,39.0,2.3,-8.1,-0.8,D
32,2084731,55.0,-1056.0,40.0,-6.4,-3.8,6.0,D
33,2084791,-52.0,-1047.0,58.0,6.5,-0.9,-4.5,D
34,2084821,46.0,-1028.0,39.0,-3.9,-2.5,-0.3,D
35,2084881,-2.0,-1052.0,79.0,-1.6,2.2,6.8,D
36,2084941,66.0,-1017.0,114.0,0.3,-2.8,-2.9,D
37,2084971,27.0,-1011.0,83.0,-5.1,-0.7,2.9,D
38,2085031,-37.0,-992.0,59.0,-4.2,0.0,-2.1,D
39,2085091,86.0,-998.0,113.0,-3.9,-0.6,-1.6,D
40,2085128,6.0,-1001.0,66.0,-7.0,-0.7,1.9,D
41,2085181,18.0,-1012.0,80.0,-3.9,-0.2,-1.2,D
42,2085241,23.0,-1002.0,80.0,-3.4,0.6,-1.1,D
43,2085271,36.0,-1002.0,92.0,-1.6,1.8,-1.1,D
44,2085331,12.0,-996.0,66.0,-0.9,0.4,0.7,D
45,2085391,29.0,-1013.0,117.0,0.7,6.0,0.2,D
46,2085421,40.0,-997.0,64.0,-4.2,2.3,3.0,D
47,2085481,13.0,-1009.0,68.0,-0.2,2.8,2.4,D
0,209663,73.0,-141.0,1287.0,16.7,14.7,-3.7,D
1,209713,52.0,-153.0,1162.0,3.2,18.1,-0.4,D
2,209772,37.0,-132.0,1028.0,-4.2,10.0,4.3,D
3,209802,-7.0,-126.0,991.0,-2.5,8.0,4.6,D
4,209863,-5.0,-115.0,990.0,-9.8,12.8,6.3,D
5,209922,-31.0,-141.0,921.0,-3.8,16.1,5.5,D
6,209952,-68.0,-154.0,1057.0,2.1,8.1,5.5,D
7,210013,-45.0,-153.0,1047.0,5.8,2.5,4.6,D
8,210073,-34.0,-155.0,1056.0,2.9,-4.0,5.1,D
9,210102,-48.0,-161.0,984.0,-3.0,1.4,6.0,D
10,210163,-63.0,-168.0,970.0,0.4,-2.7,2.7,D
11,210223,-56.0,-159.0,990.0,5.5,-1.6,0.6,D
12,210252,-58.0,-147.0,1027.0,3.9,-1.6,0.3,D
13,210312,-48.0,-137.0,1007.0,-0.2,-2.3,-0.5,D
14,210373,-27.0,-134.0,992.0,0.7,-4.2,0.3,D
15,210402,-22.0,-129.0,992.0,0.0,0.4,0.7,D
16,210463,-31.0,-130.0,986.0,1.8,1.6,1.6,D
17,210553,-50.0,-135.0,991.0,2.1,1.1,2.3,D
18,210553,-50.0,-135.0,991.0,0.3,2.6,2.3,D
19,210612,-64.0,-141.0,994.0,2.4,-0.9,1.8,D
20,210672,-27.0,-134.0,998.0,5.0,-3.1,0.9,D
21,210702,-17.0,-134.0,996.0,6.2,-7.8,1.6,D
22,210762,-23.0,-125.0,1030.0,7.7,-5.3,1.1,D
23,210823,-30.0,-117.0,1009.0,-1.1,1.4,1.8,D
24,210851,-37.0,-122.0,1001.0,1.3,-0.2,0.3,D
25,210913,-36.0,-110.0,998.0,4.4,-0.9,0.5,D
26,210972,-27.0,-101.0,1038.0,1.4,-2.4,1.2,D
27,211002,-10.0,-100.0,1011.0,-2.1,0.1,1.8,D
28,211063,-17.0,-115.0,1003.0,-0.8,-0.4,1.6,D
29,211123,-21.0,-119.0,999.0,0.4,-0.7,1.3,D
30,211151,-32.0,-118.0,1009.0,0.1,-0.1,0.5,D
31,211212,-36.0,-122.0,998.0,1.1,-1.1,-0.4,D
32,211271,-15.0,-104.0,1026.0,0.9,-1.4,-0.6,D
33,211301,-15.0,-114.0,1009.0,2.5,-3.5,-0.1,D
34,211361,-25.0,-109.0,987.0,1.7,-5.8,0.6,D
35,211422,-1.0,-105.0,1013.0,8.4,-10.5,0.0,D
36,211451,-5.0,-112.0,1027.0,-1.1,-1.9,1.6,D
37,211512,-7.0,-118.0,977.0,-0.9,-1.7,1.0,D
38,211572,-13.0,-105.0,970.0,9.2,-10.1,-0.2,D
39,211602,38.0,-87.0,988.0,20.1,-17.6,0.9,D
40,211663,82.0,-48.0,1102.0,14.4,-14.6,1.6,D
1,2111520,-37.0,-672.0,-64.0,-2.9,-2.8,9.3,D
2,2111581,-66.0,-797.0,75.0,-1.1,3.5,18.6,D
3,2111642,-130.0,-858.0,-33.0,-18.1,-13.9,16.2,D
4,2111671,-109.0,-974.0,-57.0,5.1,-19.2,10.7,D
5,2111731,-143.0,-981.0,54.0,16.7,-25.3,-5.3,D
6,2111791,-74.0,-955.0,-175.0,-17.0,-3.2,15.4,D
7,2111821,-137.0,-925.0,-300.0,5.6,-3.9,8.8,D
8,2111881,-191.0,-972.0,-32.0,35.1,-20.3,3.4,D
9,2111941,-230.0,-992.0,-112.0,33.2,-15.6,-14.0,D
10,2111971,-220.0,-1033.0,93.0,20.1,-2.1,-3.8,D
11,2112030,-194.0,-1026.0,-47.0,20.1,-2.1,-3.8,D
12,2112091,-7.0,-855.0,116.0,-2.1,0.6,-20.0,D
13,2112121,202.0,-825.0,25.0,26.0,8.6,-49.0,D
14,2112181,-40.0,-1179.0,116.0,31.8,-12.3,-47.4,D
15,2112254,89.0,-1350.0,119.0,27.0,18.4,-40.5,D
16,2112285,108.0,-1430.0,175.0,-0.6,9.3,-3.7,D
17,2112330,-51.0,-1288.0,43.0,-33.9,8.8,1.2,D
18,2112390,3.0,-1010.0,-52.0,-33.9,8.8,1.2,D
19,2112420,49.0,-941.0,-27.0,-22.1,-2.8,7.9,D
20,2112481,-3.0,-947.0,-106.0,-14.0,1.8,5.8,D
21,2112541,31.0,-1045.0,-28.0,12.1,-3.8,-5.1,D
22,2112570,35.0,-1075.0,-1.0,-8.1,0.6,0.8,D
23,2112631,3.0,-1008.0,-29.0,-13.3,-1.1,-1.1,D
24,2112690,6.0,-997.0,-41.0,-3.7,2.8,3.6,D
25,2112720,54.0,-1006.0,3.0,0.0,-0.3,-5.3,D
26,2112783,-19.0,-997.0,-32.0,-3.8,0.9,4.2,D
27,2112851,4.0,-997.0,6.0,0.9,0.9,-7.9,D
28,2112871,-5.0,-978.0,-24.0,-2.2,8.1,-0.7,D
29,2112931,71.0,-985.0,6.0,-0.5,1.6,-6.2,D
30,2112991,93.0,-933.0,-140.0,1.4,-2.2,-7.3,D
31,2113021,85.0,-1025.0,46.0,0.6,0.1,-6.0,D
32,2113081,63.0,-1027.0,14.0,-3.7,0.7,2.2,D
33,2113141,24.0,-1002.0,-21.0,-0.3,5.8,4.0,D
34,2113171,123.0,-976.0,20.0,5.8,-0.1,-2.8,D
35,2113231,24.0,-1011.0,33.0,3.9,0.4,3.8,D
1,352004,115.0,-25.0,1065.0,-13.7,6.6,-3.5,D
2,352032,49.0,-20.0,1269.0,3.9,33.7,7.4,D
3,352094,-144.0,-57.0,1103.0,-6.3,36.6,4.9,D
4,352154,-108.0,-22.0,1133.0,12.8,24.3,-4.5,D
5,352183,-3.0,-2.0,1149.0,21.8,11.4,-8.7,D
6,352243,-18.0,3.0,1119.0,3.3,12.2,-5.0,D
7,352305,-38.0,7.0,1070.0,-2.1,11.1,2.8,D
8,352333,-44.0,15.0,1074.0,1.9,4.4,3.2,D
9,352394,-68.0,18.0,1025.0,2.1,1.6,3.5,D
10,352453,-49.0,18.0,997.0,5.2,-0.7,2.5,D
11,352483,-49.0,18.0,997.0,1.7,0.4,2.7,D
12,352543,-40.0,0.0,1032.0,7.0,-3.6,0.5,D
13,352604,-41.0,-1.0,1057.0,4.0,-2.0,1.1,D
14,352633,-48.0,4.0,1034.0,-0.9,0.2,2.1,D
15,352783,-68.0,2.0,1001.0,-2.3,1.8,1.2,D
16,352783,-68.0,2.0,1001.0,-1.1,0.2,0.4,D
17,352810,-70.0,13.0,1025.0,3.9,-1.8,-0.4,D
18,352887,-57.0,21.0,1030.0,-0.9,-0.2,0.1,D
19,352952,-24.0,15.0,1024.0,-0.9,-2.3,2.1,D
